,month,0
835,2015-10,2
836,2014-11,0
837,2015-02,0
838,2017-03,0
839,2017-02,0
840,2014-04,0
841,2015-08,2
842,2016-06,0
843,2015-01,0
844,2014-11,0
845,2016-10,0
846,2016-11,0
847,2016-02,2
848,2016-06,2
849,2016-10,0
850,2015-08,0
851,2016-02,0
852,2014-06,0
853,2015-11,0
854,2015-12,0
855,2017-01,0
856,2015-02,0
857,2016-12,0
858,2015-11,0
859,2016-03,0
860,2016-07,0
861,2015-12,0
862,2014-12,0
863,2014-08,0
864,2016-05,0
865,2016-08,0
866,2016-09,0
867,2016-10,2
868,2016-12,0
869,2016-10,0
870,2014-09,0
871,2015-05,0
872,2014-10,0
873,2016-08,0
874,2015-05,0
875,2016-03,0
876,2016-09,1
877,2014-09,0
878,2016-03,2
879,2014-11,0
880,2015-11,0
881,2015-03,0
882,2017-03,0
883,2014-09,0
884,2015-07,0
885,2015-02,0
886,2015-03,0
887,2015-05,0
888,2014-12,0
889,2016-09,0
890,2016-01,0
891,2015-08,2
892,2017-03,0
893,2015-02,0
894,2015-05,0
895,2014-11,0
896,2014-09,0
897,2016-04,0
898,2017-01,0
899,2014-05,0
900,2016-08,0
901,2015-03,0
902,2015-09,0
903,2016-09,0
904,2015-02,0
905,2017-03,0
906,2015-04,0
907,2016-10,0
908,2016-07,0
909,2015-04,0
910,2016-09,0
911,2014-09,0
912,2014-09,0
913,2014-12,0
914,2016-10,2
915,2016-07,0
916,2014-07,0
917,2016-05,0
918,2015-03,0
919,2015-10,0
920,2016-10,0
921,2016-02,0
922,2014-10,0
923,2015-02,0
924,2014-11,0
925,2015-01,0
926,2016-12,0
927,2016-09,0
928,2015-01,0
929,2016-10,0
930,2014-12,0
931,2016-02,0
932,2015-01,0
933,2016-01,0
934,2015-06,1
935,2015-12,0
936,2016-06,0
937,2016-10,0
938,2014-05,0
939,2016-11,0
940,2015-07,0
941,2017-03,0
942,2015-09,0
943,2014-10,0
944,2016-11,0
945,2016-06,1
946,2014-08,0
947,2015-05,0
948,2015-01,0
949,2016-03,0
950,2015-06,0
951,2015-04,0
952,2016-04,0
953,2014-10,2
954,2015-08,0
955,2014-10,0
956,2014-05,0
957,2014-04,0
958,2016-10,0
959,2015-03,0
960,2014-10,0
961,2015-04,0
962,2016-11,0
963,2016-05,0
964,2016-11,0
965,2016-04,0
966,2014-08,0
967,2014-12,0
968,2016-11,0
969,2015-07,0
970,2014-09,0
971,2016-02,0
972,2016-09,0
973,2016-09,0
974,2016-06,0
975,2016-10,1
976,2015-04,0
977,2016-02,0
978,2016-11,0
979,2015-10,0
980,2015-03,0
981,2015-03,0
982,2015-07,0
983,2015-06,0
984,2015-03,0
985,2016-12,0
986,2015-08,0
987,2016-12,0
988,2016-10,1
989,2017-02,0
990,2015-09,0
991,2016-06,0
992,2017-02,0
993,2015-06,0
994,2014-12,0
995,2015-10,0
996,2016-09,0
997,2014-09,0
998,2016-09,0
999,2016-10,0
1000,2016-08,0
1001,2016-05,2
1002,2016-11,0
1003,2015-03,2
1004,2015-08,0
1005,2015-11,0
1006,2016-12,0
1007,2016-05,0
1008,2015-12,0
1009,2014-10,0
1010,2014-10,0
1011,2016-04,0
1012,2017-02,0
1013,2015-11,0
1014,2016-02,0
1015,2015-07,0
1016,2015-05,0
1017,2014-06,0
1018,2016-04,0
1019,2016-10,0
1020,2017-03,0
1021,2016-09,0
1022,2016-09,0
